Card Member,Age,Annual Income,Spending Score (1-100)
1,32.0,0.073,73.0
1,19.0,0.074,10.0
0,35.0,0.074,72.0
0,57.0,0.075,5.0
1,32.0,0.075,93.0
0,28.0,0.076,40.0
0,32.0,0.076,87.0
1,25.0,0.077,12.0
1,28.0,0.077,97.0
1,48.0,0.077,36.0
0,32.0,0.077,74.0
0,34.0,0.078,22.0
1,34.0,0.078,90.0
1,43.0,0.078,17.0
1,39.0,0.078,88.0
0,44.0,0.078,20.0
0,38.0,0.078,76.0
0,47.0,0.078,16.0
0,27.0,0.078,89.0
1,37.0,0.078,1.0
0,30.0,0.078,78.0
1,34.0,0.078,1.0
0,30.0,0.078,73.0
0,56.0,0.079,35.0
0,29.0,0.079,83.0
1,19.0,0.081,5.0
0,31.0,0.081,93.0
1,50.0,0.085,26.0
0,36.0,0.085,75.0
1,42.0,0.086,20.0
0,33.0,0.086,95.0
0,36.0,0.087,27.0
1,32.0,0.087,63.0
1,40.0,0.087,13.0
1,28.0,0.087,75.0
1,36.0,0.087,10.0
1,36.0,0.087,92.0
0,52.0,0.088,13.0
0,30.0,0.088,86.0
1,58.0,0.088,15.0
1,27.0,0.088,69.0
1,59.0,0.093,14.0
1,35.0,0.093,90.0
0,37.0,0.097,32.0
0,32.0,0.097,86.0
1,46.0,0.098,15.0
0,29.0,0.098,88.0
0,41.0,0.099,39.0
1,30.0,0.099,97.0
0,54.0,0.101,24.0
1,28.0,0.101,68.0
0,41.0,0.103,17.0
0,36.0,0.103,85.0
0,34.0,0.103,23.0
0,32.0,0.103,69.0
1,33.0,0.113,8.0
0,38.0,0.113,91.0
0,47.0,0.12,16.0
0,35.0,0.12,79.0
0,45.0,0.126,28.0
1,32.0,0.126,74.0
1,32.0,0.137,18.0
1,30.0,0.137,83.0
